merchant_id,merchant_name,merchant_category,business_type,country,city,registration_date,is_verified,is_active,risk_score,monthly_limit,fee_percentage,created_at,updated_at
732f0ffc-f2ca-436b-8446-1faf9360d4b2,Abdullah Trading,Food & Beverage,company,EG,Luxor,2021-07-19,True,True,0.018,500000,2.65,2021-07-19 08:42:12,2023-12-25 04:41:09
c559659d-2017-4f79-bec9-b6ec248f6875,FastCash MENA,Food & Beverage,company,SA,Buraidah,2022-06-11,True,True,0.141,1000000,3.17,2022-06-11 18:30:29,2024-05-30 06:57:37
38049e12-dc1a-40d1-8356-c8fbf1a6403f,Hayat Tech,Healthcare,individual,EG,Mansoura,2024-05-13,True,True,0.021,50000,3.18,2024-05-13 18:06:37,2025-10-17 10:30:48
6b9ecef7-6b76-427c-a5ef-2d152e0309ec,Markaz Majd WLL,Retail,individual,EG,Alexandria,2022-01-14,True,True,0.041,250000,2.16,2022-01-14 17:33:21,2023-12-19 17:40:29
a1606bc9-fa25-4915-89d7-13060002797a,Al-Ghamdi Group,Gaming,individual,AE,Umm Al Quwain,2025-06-16,True,True,0.059,100000,2.84,2025-06-16 15:56:23,2026-02-08 04:07:20
0e055fb9-cdcd-48a0-9ca2-d4acf39a029e,Abu Ras Al Khaimah House,Healthcare,individual,EG,Aswan,2021-05-20,False,True,0.294,50000,2.22,2021-05-20 02:31:38,2025-10-03 07:00:05
7ec8332a-8a1e-46ca-8b20-56306dc89a54,Faisal Trading,Food & Beverage,company,SA,Abha,2024-11-23,True,True,0.165,100000,1.51,2024-11-23 23:19:05,2026-02-14 20:17:52
aaf0ff20-1b5a-42d3-b02e-d5b08fbd82a0,Al-Rashid Trading,Food & Beverage,company,KW,Kuwait City,2024-05-21,True,False,0.117,500000,3.19,2024-05-21 12:20:17,2025-09-18 14:02:46
171e6219-d07e-4c0d-9ee1-24cc67627e0e,Souq Pharaoh Enterprises,Travel,company,KW,Farwaniya,2025-11-15,True,True,0.004,1000000,2.31,2025-11-15 00:08:43,2026-02-07 07:02:57
04f0ae8e-4e2e-4011-9892-bb855db70c34,Palm House,Retail,individual,SA,Taif,2024-07-27,True,True,0.198,50000,2.84,2024-07-27 12:01:21,2024-12-11 08:24:24
3fe89dd2-9707-4920-9485-6f676773500f,Riyadh Digital,Healthcare,company,QA,Al Wakrah,2021-09-16,True,True,0.075,1000000,1.62,2021-09-16 21:50:38,2022-08-16 07:02:10
b816fb15-4495-42e8-83b1-fab306ed44a7,Beit Dubai Plus,Travel,individual,EG,Aswan,2022-04-12,True,True,0.243,50000,1.72,2022-04-12 13:19:29,2023-11-17 10:20:14
312bd171-4f32-47f6-bd73-a8a5d373c81e,QuickTransfer Middle East,Food & Beverage,individual,EG,Ismailia,2022-07-11,True,True,0.044,250000,2.58,2022-07-11 09:28:00,2022-12-07 03:01:43
4aa367a6-a7db-469d-bfeb-520e55724ded,Ibrahim Enterprises,Retail,individual,SA,Makkah,2022-08-02,True,False,0.009,50000,2.46,2022-08-02 14:26:13,2024-10-06 15:13:29
6966253e-356f-4426-8ed9-9e2739daff90,Al-Rashid LLC,Travel,company,EG,Suez,2025-06-09,True,True,0.302,500000,2.1,2025-06-09 12:48:48,2025-07-29 12:25:26
707c2d7f-5896-4dbe-95e9-69ed5c35f1f1,Amal Mart,Healthcare,company,SA,Tabuk,2024-07-05,True,True,0.037,100000,2.73,2024-07-05 11:49:52,2025-10-12 08:45:40
485fccf3-292e-44d4-8dfb-50cbf6b4537c,Souq Luxor WLL,Food & Beverage,enterprise,AE,Sharjah,2025-07-12,False,True,0.078,100000,2.72,2025-07-12 18:34:17,2025-10-26 09:11:55
d0f86a0f-99d7-4c4a-bc4a-a73a548e48bf,Sinai Mart,Education,company,AE,Dubai,2026-02-10,True,True,0.057,250000,2.5,2026-02-10 13:01:39,2026-02-19 08:53:09
a82948ec-f466-47d4-b962-b118c379b85b,Jubail House,Food & Beverage,company,EG,Suez,2024-06-04,True,True,0.012,250000,3.17,2024-06-04 15:38:55,2024-07-23 23:57:50
712ea867-d9f8-4f5d-a8cc-bd99a15d925b,Al-Nahyan Trading,Healthcare,individual,EG,Tanta,2021-08-20,True,True,0.278,50000,3.4,2021-08-20 13:47:23,2022-02-26 17:59:19
45536e5d-7428-4622-b635-03afd2057413,Ibrahim Enterprises,Utilities,company,EG,Giza,2022-10-22,True,True,0.284,100000,2.02,2022-10-22 09:25:08,2023-01-25 18:54:28
